azb,fa
نهایت ، آللاه اونلارا هم دۆنیا نئ متلرینی ، هم ده ان گؤزل عاخرت نئ متینی وئردی . آللاه یاخشی ایش گؤرنلری سئور !,پس خداوند ، پاداش این دنیا ، و پاداش نیک آخرت را به آنان عطا کرد ، و خداوند نیکوکاران را دوست دارد .
سونرا جاماآتێن دؤندوگو یئردن سیز ده دؤنون ! آللاهدان باغێشلانماق دیلهگین ، شبههسیز کی ، آللاه باغیشلایاندیر ، رحم ائدندیر !,پس ، از همان جا که انبوه‌ مردم روانه می‌شوند ، شما نیز روانه شوید و از خداوند آمرزش خواهید که خدا آمرزنده مهربان است .
محض اوندا معؤ مینلر امتهاهانا چکیلمیش وه مۆحکم سارسێلمێشدێلار .,آنجا بود که‌ مؤمنان در آزمایش قرار گرفتند و سخت تکان خوردند .
اونلار چوخلارێنێ یولدان چێخارتدێلار . سن ده آنجاق اونلارێن ذلالهتینی آرتێر !,و بسیاری را گمراه کرده‌اند . بار خدایا ، جز بر گمراهی ستمکاران میفزای .
مگر سیز ائله بورادا اونلارێن ایچینده آرخایینلێقلا قالاجاقسێنێز ؟,آیا شما را در آنچه اینجا دارید آسوده رها می‌کنند ؟
خرجلهدیگینیز وه نظیر ائتدیگینیز هر هانسێ شئیی ، شبههسیز کی ، آللاه بیلیر ، لاکین ظۆلم ائدنلرین هئچ بیر کؤمکچیسی اولماز !,و هر نفقه‌ای را که انفاق ، یا هر نذری را که عهد کرده‌اید ، قطعا خداوند آن را می‌داند ، و برای ستمکاران هیچ یاوری نیست .
سن وه قارداشێن معؤ جۆزهلریمله گئدین وه منی زیکر ائتمکده زیفلیک گؤسترمهیین,تو و برادرت معجزه‌های مرا برای مردم‌ ببرید و در یادکردن من سستی مکنید .
ایمان گتیریب یاخشی ایشلر گؤرنلری نعیم جنتلری گؤزلهییر .,در حقیقت ، کسانی که ایمان آورده و کارهای شایسته کرده‌اند ، باغهای پر نعمت خواهند داشت ،
من سیزه ربیمین امرلرینی تبلیغ ائدیرم . من سیزه دوغرو مصلحت وئرهنم .,پیامهای پروردگارم را به شما می‌رسانم و برای شما خیر خواهی امینم .
سنین آد سانێنێ اوجالتمادێقمی,و نامت را برای تو بلند گردانیدیم .
دئ : داش اولون ، یاخود دمیر !,بگو : سنگ باشید یا آهن ،
شبههسیز کی ، سنین ربین اونلارێن اۆرکلرینین گیزلی ساخلادێغێ وه اؤزلرینین آشکار ائتدیکلری هر شئیی بیلیر .,و در حقیقت ، پروردگار تو آنچه را در سینه‌هایشان نهفته و آنچه را آشکار می‌دارند نیک می‌داند .
آللاهدان باشقا هئچ بیر تانرێ یوخدور . بونا گؤره ده معؤ مینلر آنجاق آللاها تۆکۆل ائتسینلر !,خدا ست که‌ جز او معبودی نیست ، و مؤمنان باید تنها بر خدا اعتماد کنند .
نه سرین ، نه ده خوشاگلندیر .,نه خنک و نه خوش .
